restaurant name,feature
Savoury Restaurant, Seating
Savoury Restaurant, Table Service
Hazuka,Reservations
Hazuka, Seating
Hazuka, Table Service
Say Cheese,Reservations
The Bar Terminal,Seating
The Bar Terminal, Delivery
The Bar Terminal, Takeout
The Bar Terminal, Reservations
The Bar Terminal, Street Parking
The Bar Terminal, Validated Parking
The Bar Terminal, Free Off-Street Parking
The Bar Terminal, Television
The Bar Terminal, Highchairs Available
The Bar Terminal, Serves Alcohol
The Bar Terminal, Full Bar
The Bar Terminal, Wine and Beer
The Bar Terminal, Digital Payments
The Bar Terminal, Free Wifi
The Bar Terminal, Accepts Credit Cards
The Bar Terminal, Table Service
Spices & Flavours,Reservations
Spices & Flavours, Wheelchair Accessible
Spices & Flavours, Seating
Spices & Flavours, Parking Available
Spices & Flavours, Street Parking
Spices & Flavours, Television
Spices & Flavours, Full Bar
Spices & Flavours, Accepts American Express
Spices & Flavours, Accepts Mastercard
Spices & Flavours, Accepts Visa
Spices & Flavours, Cash Only
Spices & Flavours, Free Wifi
Spices & Flavours, Delivery
Spices & Flavours, Takeout
Spices & Flavours, Free Off-Street Parking
Spices & Flavours, Highchairs Available
Spices & Flavours, Serves Alcohol
Spices & Flavours, Wine and Beer
Spices & Flavours, Digital Payments
Spices & Flavours, Accepts Credit Cards
Spices & Flavours, Table Service
Apoorva,Takeout
Apoorva, Reservations
Apoorva, Seating
Apoorva, Serves Alcohol
Apoorva, Full Bar
Apoorva, Delivery
Apoorva, Table Service
Costa Coffee,Takeout
99 Pancakes,Takeout
Food For Thought,Takeout
Food For Thought, Seating
Food For Thought, Table Service
The Ghetto Restaurant,Lunch
The Ghetto Restaurant, Dinner
The Ghetto Restaurant, Drinks
Cafe Moshe's,Seating
Cafe Moshe's, Delivery
Cafe Moshe's, Takeout
Cafe Moshe's, Reservations
Cafe Moshe's, Table Service
Vicinia,Delivery
Vicinia,Seating
Vicinia,Digital Payments
Vicinia,Takeout
Vicinia,Table Service
Ministry of salads,Reservations
Ministry of salads, Seating
Ministry of salads, Serves Alcohol
Ministry of salads, Table Service
Chicken Centre,Delivery
Chicken Centre,Seating
Chicken Centre,Digital Payments
Chicken Centre,Takeout
Chicken Centre,Table Service
Francesco's Pizzeria,Delivery
Francesco's Pizzeria,Seating
Francesco's Pizzeria,Digital Payments
Francesco's Pizzeria,Takeout
Francesco's Pizzeria,Table Service
Bombay Blues Restaurant,Delivery
Bombay Blues Restaurant,Seating
Bombay Blues Restaurant,Digital Payments
Bombay Blues Restaurant,Takeout
Bombay Blues Restaurant,Table Service
Sushi & More,Delivery
Sushi & More,Seating
Sushi & More,Digital Payments
Sushi & More,Takeout
Sushi & More,Table Service
Chcolateria San Churro,Delivery
Chcolateria San Churro,Seating
Chcolateria San Churro,Digital Payments
Chcolateria San Churro,Takeout
Chcolateria San Churro,Table Service
The 29,Delivery
The 29,Seating
The 29,Digital Payments
The 29,Takeout
The 29,Table Service
Right Place,Delivery
Right Place,Seating
Right Place,Digital Payments
Right Place,Takeout
Right Place,Table Service
Shobha,Delivery
Shobha,Seating
Shobha,Digital Payments
Shobha,Takeout
Shobha,Table Service
Thambi Veg Restaurant,Delivery
Thambi Veg Restaurant,Seating
Thambi Veg Restaurant,Digital Payments
Thambi Veg Restaurant,Takeout
Thambi Veg Restaurant,Table Service
The Lush,Delivery
The Lush,Seating
The Lush,Digital Payments
The Lush,Takeout
The Lush,Table Service
MRP,Delivery
MRP,Seating
MRP,Digital Payments
MRP,Takeout
MRP,Table Service
Cafe Coffee Day,Delivery
Cafe Coffee Day,Seating
Cafe Coffee Day,Digital Payments
Cafe Coffee Day,Takeout
Cafe Coffee Day,Table Service
Jyoti Veg Diet,Delivery
Jyoti Veg Diet,Seating
Jyoti Veg Diet,Digital Payments
Jyoti Veg Diet,Takeout
Jyoti Veg Diet,Table Service
DP's Fast Food,Delivery
DP's Fast Food,Seating
DP's Fast Food,Digital Payments
DP's Fast Food,Takeout
DP's Fast Food,Table Service
Sharda Bhavan,Delivery
Sharda Bhavan,Seating
Sharda Bhavan,Digital Payments
Sharda Bhavan,Takeout
Sharda Bhavan,Table Service
Cafe Coffee Day,Delivery
Cafe Coffee Day,Seating
Cafe Coffee Day,Digital Payments
Cafe Coffee Day,Takeout
Cafe Coffee Day,Table Service
Hotel Rishi Restaurant,Delivery
Hotel Rishi Restaurant,Seating
Hotel Rishi Restaurant,Digital Payments
Hotel Rishi Restaurant,Takeout
Hotel Rishi Restaurant,Table Service
Pankaj Juice Centre,Delivery
Pankaj Juice Centre,Seating
Pankaj Juice Centre,Digital Payments
Pankaj Juice Centre,Takeout
Pankaj Juice Centre,Table Service
Grandmama's Cafe,Delivery
Grandmama's Cafe,Seating
Grandmama's Cafe,Digital Payments
Grandmama's Cafe,Takeout
Grandmama's Cafe,Table Service
The Boston Butt,Delivery
The Boston Butt,Seating
The Boston Butt,Digital Payments
The Boston Butt,Takeout
The Boston Butt,Table Service
Kailash Mandir Lassi and Sweets,Delivery
Kailash Mandir Lassi and Sweets,Seating
Kailash Mandir Lassi and Sweets,Digital Payments
Kailash Mandir Lassi and Sweets,Takeout
Kailash Mandir Lassi and Sweets,Table Service
Pritam Da Dhaba,Delivery
Pritam Da Dhaba,Seating
Pritam Da Dhaba,Digital Payments
Pritam Da Dhaba,Takeout
Pritam Da Dhaba,Table Service
Cafe Gulshan,Delivery
Cafe Gulshan,Seating
Cafe Gulshan,Digital Payments
Cafe Gulshan,Takeout
Cafe Gulshan,Table Service
