restaurant name,meal
The Boston Butt,Dinner
The Boston Butt,Breakfast
Kailash Mandir Lassi and Sweets,Lunch
Kailash Mandir Lassi and Sweets,Dinner
Kailash Mandir Lassi and Sweets,Breakfast
Pritam Da Dhaba,Lunch
Pritam Da Dhaba,Dinner
Pritam Da Dhaba,Breakfast
Cafe Gulshan,Lunch
Cafe Gulshan,Dinner
Cafe Gulshan,Breakfast
